<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20170818,000000,0.7882600,0.7944300,0.7867000,0.7922500,1166417
AUDUSD,D,20170819,000000,0.7923400,0.7927200,0.7922100,0.7925900,24
AUDUSD,D,20170820,000000,0.7920000,0.7934000,0.7920000,0.7928000,255
AUDUSD,D,20170821,000000,0.7928300,0.7950600,0.7908000,0.7934600,834271
AUDUSD,D,20170822,000000,0.7938200,0.7951000,0.7895000,0.7909700,864200
AUDUSD,D,20170823,000000,0.7908000,0.7918300,0.7879000,0.7901900,999150
AUDUSD,D,20170824,000000,0.7901500,0.7915900,0.7864000,0.7902000,1064558
AUDUSD,D,20170825,000000,0.7897200,0.7954000,0.7882900,0.7929600,1149831
AUDUSD,D,20170826,000000,0.7924500,0.7924500,0.7924500,0.7924500,1
AUDUSD,D,20170827,000000,0.7929000,0.7942000,0.7912800,0.7922000,1070
AUDUSD,D,20170828,000000,0.7921900,0.7973100,0.7917900,0.7962000,846982
AUDUSD,D,20170829,000000,0.7962800,0.7983000,0.7904000,0.7946800,1329645
AUDUSD,D,20170830,000000,0.7945200,0.7995700,0.7888000,0.7903000,1122932
AUDUSD,D,20170831,000000,0.7899600,0.7950100,0.7868000,0.7946000,1236129
AUDUSD,D,20170901,000000,0.7946700,0.7995100,0.7919000,0.7968100,1213522
AUDUSD,D,20170903,000000,0.7930000,0.7950000,0.7930000,0.7948000,715
AUDUSD,D,20170904,000000,0.7947100,0.7973000,0.7940000,0.7941900,895181
AUDUSD,D,20170905,000000,0.7940900,0.8028500,0.7939200,0.7994900,1310297
AUDUSD,D,20170906,000000,0.7995200,0.8020700,0.7961000,0.7999200,1251242
AUDUSD,D,20170907,000000,0.7998200,0.8048700,0.7973000,0.8046900,1237703
AUDUSD,D,20170908,000000,0.8046500,0.8125000,0.8041000,0.8051200,1370648
AUDUSD,D,20170910,000000,0.8052600,0.8071000,0.8050000,0.8054200,568
AUDUSD,D,20170911,000000,0.8053100,0.8058400,0.8016000,0.8026400,1106588
AUDUSD,D,20170912,000000,0.8026700,0.8049200,0.7995000,0.8014200,1081012
AUDUSD,D,20170913,000000,0.8015100,0.8044100,0.7968000,0.7983900,1172941
AUDUSD,D,20170914,000000,0.7982900,0.8016400,0.7954000,0.8001900,1315134
AUDUSD,D,20170915,000000,0.8002000,0.8035200,0.7984000,0.7998900,1226243
AUDUSD,D,20170916,000000,0.7998900,0.8001100,0.7998000,0.8001100,27
AUDUSD,D,20170917,000000,0.7997000,0.8003000,0.7995500,0.7997100,422
AUDUSD,D,20170918,000000,0.8001700,0.8035200,0.7937000,0.7957400,1125094
AUDUSD,D,20170919,000000,0.7958100,0.8019900,0.7953900,0.8009200,1157705
AUDUSD,D,20170920,000000,0.8007300,0.8103300,0.7984000,0.8030600,1369588
AUDUSD,D,20170921,000000,0.8029800,0.8036500,0.7914000,0.7929000,1279651
AUDUSD,D,20170922,000000,0.7923100,0.7986300,0.7905000,0.7958200,988516
AUDUSD,D,20170923,000000,0.7956100,0.7961200,0.7956100,0.7961200,2
AUDUSD,D,20170924,000000,0.7962000,0.7970000,0.7937500,0.7947800,1128
AUDUSD,D,20170925,000000,0.7951500,0.7973600,0.7924000,0.7934400,1043598
